uid, name, address, discord_handle, option, weight, time
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,酸奶,1,2022-10-28 13:37:33
27604,kuanfu,0x191bfd0535d06c56fdf80f37990d9cd20b807e9b,,酸奶,1,2022-10-28 13:37:50
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,,Ted,1,2022-10-28 13:38:48
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,酸奶,1,2022-10-28 13:38:57
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,酸奶,1,2022-10-28 13:40:14
26640,zik,0x9d42a19e504f5f87f8b4edf7f9abf510a3026fab,zik#9003,Ted,1,2022-10-28 13:40:21
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,Ted,1,2022-10-28 13:41:14
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,酸奶,1,2022-10-28 13:41:21
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,酸奶,1,2022-10-28 13:41:22
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,酸奶,1,2022-10-28 13:42:11
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,Helium,1,2022-10-28 13:43:00
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,签到票1,1,2022-10-28 13:47:18
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,酸奶,1,2022-10-28 13:47:30
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,签到票1,1,2022-10-28 13:47:35
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,Ted,1,2022-10-28 13:48:23
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,酸奶,1,2022-10-28 13:51:12
8899,WillJiang,0xd8015579d04d3205c8a35244c7ce64b0bd6de822,,签到票1,1,2022-10-28 13:53:40
30980,troublledyouth,0x20669775d663d9a461ef2b2efca8fe43954f4b13,,Ted,1,2022-10-28 13:58:22
12480,VeraSir,0x77bbfa1e9088b6763fdf18d4655421e81afaacee,,Helium,1,2022-10-28 13:58:57
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,,Ted,1,2022-10-28 13:59:23
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,酸奶,1,2022-10-28 14:01:00
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,,酸奶,1,2022-10-28 14:03:53
7390,Zephyr,0x615b95fefd5307964de2e38d544bb835c5b79717,,酸奶,1,2022-10-28 14:06:02
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,,酸奶,1,2022-10-28 14:09:44
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,,Ted,1,2022-10-28 14:25:59
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,,Helium,1,2022-10-28 14:28:00
12660,ScaSte,0x172697d24da16f36caf2fadc3e78b5a538fc858e,,酸奶,1,2022-10-28 14:48:33
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,,酸奶,1,2022-10-28 14:56:59
30986,Pzai,0x1534f20bf35904a10a1ad4c06641515d1c5d60ba,,酸奶,1,2022-10-28 15:02:02
27935,HenryL,0x10ea167893cb51500ec829222e3d17a968feb650,HenryL#5853,酸奶,1,2022-10-28 15:22:43
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,酸奶,1,2022-10-28 15:38:48
26643,Manman,0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b,,Helium,1,2022-10-28 15:46:58
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,酸奶,1,2022-10-29 01:43:21
30476,JC42,0xc1c2d0860a213c630c7e285eb5b8b1ebdfa205b1,JC42#9702,酸奶,1,2022-10-29 09:46:35
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,,酸奶,1,2022-10-29 11:13:19
