uid, name, address, discord_handle, option, weight, time
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,Chris.eth,1,2022-10-28 13:45:24
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,Hal,1,2022-10-28 13:45:24
12858,shawnw,0x27b503fd677dd889ea3e7804df492d2d809e6052,,kc,1,2022-10-28 13:45:24
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,Chris.eth,1,2022-10-28 13:45:38
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,Hal,1,2022-10-28 13:45:38
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,,kc,1,2022-10-28 13:45:38
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,Chris.eth,1,2022-10-28 13:45:40
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,Hal,1,2022-10-28 13:45:40
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,kc,1,2022-10-28 13:45:40
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,签到票1,1,2022-10-28 13:47:10
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,签到票2,1,2022-10-28 13:47:10
26646,Adazz,0x490ee9a3dfe5fa4c65a4a65b3fe178a3c12398a6,,签到票3,1,2022-10-28 13:47:10
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,Chris.eth,1,2022-10-28 13:47:12
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,kc,1,2022-10-28 13:47:12
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,签到票1,1,2022-10-28 13:47:12
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,Chris.eth,1,2022-10-28 13:47:32
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,kc,1,2022-10-28 13:47:32
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,,签到票1,1,2022-10-28 13:47:32
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,Chris.eth,1,2022-10-28 13:47:59
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,Hal,1,2022-10-28 13:47:59
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,kc,1,2022-10-28 13:47:59
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,Chris.eth,1,2022-10-28 13:50:47
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,kc,1,2022-10-28 13:50:47
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,,签到票1,1,2022-10-28 13:50:47
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,Chris.eth,1,2022-10-28 13:51:55
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,Hal,1,2022-10-28 13:51:55
7160,kcpuppucino,0x9672c0e1639f159334ca1288d4a24deb02117291,,kc,1,2022-10-28 13:51:55
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,Chris.eth,1,2022-10-28 13:52:57
8906,DarkS,0x6cd5f918c5125f4e421c354e8b27d3bc9ff567f5,Yohji#1575,kc,1,2022-10-28 13:52:57
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,Chris.eth,1,2022-10-28 13:53:26
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,kc,1,2022-10-28 13:53:26
7517,RebeccaWONG,0x13e283646f203ef6b24cd5c8ed5dbbf29dd0d39f,rebeccawong.eth#3764,签到票1,1,2022-10-28 13:53:26
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,Chris.eth,1,2022-10-28 13:53:29
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,Hal,1,2022-10-28 13:53:29
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,,kc,1,2022-10-28 13:53:29
8899,WillJiang,0xd8015579d04d3205c8a35244c7ce64b0bd6de822,,kc,1,2022-10-28 13:54:32
12480,VeraSir,0x77bbfa1e9088b6763fdf18d4655421e81afaacee,,Chris.eth,1,2022-10-28 13:59:19
12480,VeraSir,0x77bbfa1e9088b6763fdf18d4655421e81afaacee,,kc,1,2022-10-28 13:59:19
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,Chris.eth,1,2022-10-28 14:01:23
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,,Hal,1,2022-10-28 14:01:23
